strategy_id,strategy_headline,label,mapping_mode,best_action_id,best_action_headline,best_similarity,best_boosted_similarity,best_action_linked_to_strategy,top1_action_id,top1_action_headline,top1_sim,top1_boosted,top2_action_id,top2_action_headline,top2_sim,top2_boosted,top3_action_id,top3_action_headline,top3_sim,top3_boosted
SO1.1,"Redesign all undergraduate programs to incorporate project-based learning, industry case studies, and interdisciplinary approaches by 2026",Partial,linked_to,A1.2,Action A1.2: Pilot Project-Based Learning in 4 Core Courses,0.5935255289077759,0.7935255289077758,True,A1.2,Action A1.2: Pilot Project-Based Learning in 4 Core Courses,0.5935255289077759,0.7935255289077758,A1.1,Action A1.1: Establish Curriculum Innovation Task Force,0.3841707110404968,0.5841707110404968,,,,
SO1.2,Achieve international accreditation (ABET/EUR-ACE) for all engineering programs by 2027,Partial,linked_to,A1.3,Action A1.3: Initiate ABET Accreditation Process,0.5130847692489624,0.7130847692489624,True,A1.3,Action A1.3: Initiate ABET Accreditation Process,0.5130847692489624,0.7130847692489624,,,,,,,,
SO1.3,"Develop and launch 5 new postgraduate specializations in emerging technologies (AI, Renewable Energy, Cybersecurity, Biomedical Engineering, Smart Manufacturing) by 2025",Strong,linked_to,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.6031814217567444,0.8031814217567443,True,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.6031814217567444,0.8031814217567443,A1.2,Action A1.2: Pilot Project-Based Learning in 4 Core Courses,0.4418404698371887,0.6418404698371887,,,,
SO1.4,Increase faculty with doctoral qualifications from 65% to 85% by 2028,Partial,linked_to,A1.5,Action A1.5: Faculty Development Scholarship Program,0.45616257190704346,0.6561625719070434,True,A1.5,Action A1.5: Faculty Development Scholarship Program,0.45616257190704346,0.6561625719070434,,,,,,,,
SO1.5,Implement continuous curriculum review processes with bi-annual industry advisory board consultations,Not Covered (Year-1),embedding_fallback,A1.1,Action A1.1: Establish Curriculum Innovation Task Force,0.43610358238220215,0.43610358238220215,False,A1.1,Action A1.1: Establish Curriculum Innovation Task Force,0.43610358238220215,0.43610358238220215,A1.2,Action A1.2: Pilot Project-Based Learning in 4 Core Courses,0.4292391538619995,0.4292391538619995,A5.2,Action A5.2: Industry Advisory Council Formation,0.3771965503692627,0.3771965503692627
SO2.1,Establish a comprehensive Career Development Center with dedicated career counselors and industry liaison officers by 2024,Not Covered (Year-1),embedding_fallback,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.4939810633659363,0.4939810633659363,False,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.4939810633659363,0.4939810633659363,A2.3,Action A2.3: Launch Professional Skills Development Program,0.4840519428253174,0.4840519428253174,A2.2,Action A2.2: Internship Partnership Development,0.4577590227127075,0.4577590227127075
SO2.2,Mandate internship/co-op experiences for 100% of undergraduate students with minimum 12-week industry placements,Partial,linked_to,A2.2,Action A2.2: Internship Partnership Development,0.5072563886642456,0.7072563886642456,True,A2.2,Action A2.2: Internship Partnership Development,0.5072563886642456,0.7072563886642456,,,,,,,,
SO2.3,"Develop soft skills and professional development programs including communication, leadership, and entrepreneurship training",Partial,linked_to,A2.3,Action A2.3: Launch Professional Skills Development Program,0.4331890344619751,0.633189034461975,True,A2.3,Action A2.3: Launch Professional Skills Development Program,0.4331890344619751,0.633189034461975,,,,,,,,
SO2.4,"Create mentorship programs connecting students with alumni and industry professionals, targeting 500 active mentorships by 2026",Strong,linked_to,A2.4,Action A2.4: Alumni Mentorship Program Launch,0.7537171840667725,0.9537171840667724,True,A2.4,Action A2.4: Alumni Mentorship Program Launch,0.7537171840667725,0.9537171840667724,,,,,,,,
SO2.5,Implement early warning systems and academic support programs to reduce dropout rates by 30%,Partial,linked_to,A2.5,Action A2.5: Academic Early Warning System Implementation,0.45700371265411377,0.6570037126541137,True,A2.5,Action A2.5: Academic Early Warning System Implementation,0.45700371265411377,0.6570037126541137,,,,,,,,
SO2.6,Launch an Innovation & Entrepreneurship Hub to support student startups and innovation projects,Not Covered (Year-1),embedding_fallback,A5.3,Action A5.3: STEM Outreach Program Launch,0.4504382014274597,0.4504382014274597,False,A5.3,Action A5.3: STEM Outreach Program Launch,0.4504382014274597,0.4504382014274597,A5.4,Action A5.4: Alumni Engagement Platform & Database,0.38981640338897705,0.38981640338897705,A1.2,Action A1.2: Pilot Project-Based Learning in 4 Core Courses,0.37302225828170776,0.37302225828170776
SO3.1,Increase annual research output to 200+ publications in indexed journals by 2028,Weak,linked_to,A3.2,Action A3.2: Research Grant Application Support Program,0.3292314410209656,0.5292314410209655,True,A3.2,Action A3.2: Research Grant Application Support Program,0.3292314410209656,0.5292314410209655,,,,,,,,
SO3.2,"Establish 4 Centers of Research Excellence in: Artificial Intelligence & Machine Learning, Sustainable Energy Systems, Advanced Manufacturing, Healthcare Technology",Not Covered (Year-1),embedding_fallback,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.4469456672668457,0.4469456672668457,False,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.4469456672668457,0.4469456672668457,A2.5,Action A2.5: Academic Early Warning System Implementation,0.4424014091491699,0.4424014091491699,A4.2,Action A4.2: Laboratory Modernization Phase 1,0.411202073097229,0.411202073097229
SO3.3,Secure external research funding of $5M annually by 2027 through competitive grants and industry partnerships,Partial,linked_to,A3.2,Action A3.2: Research Grant Application Support Program,0.4068552851676941,0.606855285167694,True,A3.2,Action A3.2: Research Grant Application Support Program,0.4068552851676941,0.606855285167694,,,,,,,,
SO3.4,"Increase postgraduate research student enrollment by 40%, targeting 300 PhD and 600 Master's students by 2028",Partial,linked_to,A3.3,Action A3.3: Postgraduate Recruitment Campaign,0.49662303924560547,0.6966230392456054,True,A3.3,Action A3.3: Postgraduate Recruitment Campaign,0.49662303924560547,0.6966230392456054,,,,,,,,
SO3.5,File 20 patents and achieve 5 technology transfer agreements by 2028,Partial,linked_to,A3.4,Action A3.4: Technology Transfer & IP Management Initiative,0.5219611525535583,0.7219611525535583,True,A3.4,Action A3.4: Technology Transfer & IP Management Initiative,0.5219611525535583,0.7219611525535583,,,,,,,,
SO3.6,Host biennial international conferences in key research areas,Not Covered (Year-1),embedding_fallback,A3.3,Action A3.3: Postgraduate Recruitment Campaign,0.262607216835022,0.262607216835022,False,A3.3,Action A3.3: Postgraduate Recruitment Campaign,0.262607216835022,0.262607216835022,A1.2,Action A1.2: Pilot Project-Based Learning in 4 Core Courses,0.2530205249786377,0.2530205249786377,A5.2,Action A5.2: Industry Advisory Council Formation,0.20388847589492798,0.20388847589492798
SO4.1,Implement a comprehensive Learning Management System (LMS) with AI-powered personalized learning paths by 2025,Not Covered (Year-1),embedding_fallback,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.4615839123725891,0.4615839123725891,False,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.4615839123725891,0.4615839123725891,A3.4,Action A3.4: Technology Transfer & IP Management Initiative,0.4413135051727295,0.4413135051727295,A2.5,Action A2.5: Academic Early Warning System Implementation,0.4293263554573059,0.4293263554573059
SO4.2,Upgrade laboratory facilities with state-of-the-art equipment and establish virtual/remote labs for 50% of courses,Strong,linked_to,A4.2,Action A4.2: Laboratory Modernization Phase 1,0.6081687211990356,0.8081687211990356,True,A4.2,Action A4.2: Laboratory Modernization Phase 1,0.6081687211990356,0.8081687211990356,,,,,,,,
SO4.3,Deploy campus-wide high-speed connectivity (1 Gbps) and implement cloud-based collaboration tools,Partial,linked_to,A4.3,Action A4.3: Campus Network Upgrade,0.48575133085250854,0.6857513308525085,True,A4.3,Action A4.3: Campus Network Upgrade,0.48575133085250854,0.6857513308525085,,,,,,,,
SO4.4,"Digitize 100% of administrative processes including admissions, examinations, and records management",Partial,linked_to,A4.4,Action A4.4: Digital Administrative Systems Implementation,0.3559596538543701,0.5559596538543701,True,A4.4,Action A4.4: Digital Administrative Systems Implementation,0.3559596538543701,0.5559596538543701,,,,,,,,
SO4.5,Establish a Data Analytics Center for institutional research and evidence-based decision making,Not Covered (Year-1),embedding_fallback,A2.5,Action A2.5: Academic Early Warning System Implementation,0.3803552985191345,0.3803552985191345,False,A2.5,Action A2.5: Academic Early Warning System Implementation,0.3803552985191345,0.3803552985191345,A4.4,Action A4.4: Digital Administrative Systems Implementation,0.2977966070175171,0.2977966070175171,A3.4,Action A3.4: Technology Transfer & IP Management Initiative,0.29150569438934326,0.29150569438934326
SO4.6,Develop hybrid learning capabilities for 80% of courses with quality online content,Not Covered (Year-1),embedding_fallback,A1.2,Action A1.2: Pilot Project-Based Learning in 4 Core Courses,0.4681376814842224,0.4681376814842224,False,A1.2,Action A1.2: Pilot Project-Based Learning in 4 Core Courses,0.4681376814842224,0.4681376814842224,A3.4,Action A3.4: Technology Transfer & IP Management Initiative,0.3531455993652344,0.3531455993652344,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.33895039558410645,0.33895039558410645
SO5.1,Establish strategic partnerships with 15 leading technology companies and multinational corporations by 2026,Not Covered (Year-1),embedding_fallback,A4.4,Action A4.4: Digital Administrative Systems Implementation,0.4803103804588318,0.4803103804588318,False,A4.4,Action A4.4: Digital Administrative Systems Implementation,0.4803103804588318,0.4803103804588318,A5.2,Action A5.2: Industry Advisory Council Formation,0.4114171266555786,0.4114171266555786,A3.4,Action A3.4: Technology Transfer & IP Management Initiative,0.39651167392730713,0.39651167392730713
SO5.2,Create an Industry Advisory Council with quarterly meetings to guide curriculum and research priorities,Partial,linked_to,A5.2,Action A5.2: Industry Advisory Council Formation,0.5854130983352661,0.7854130983352661,True,A5.2,Action A5.2: Industry Advisory Council Formation,0.5854130983352661,0.7854130983352661,,,,,,,,
SO5.3,Launch collaborative research projects worth $3M with industry partners by 2027,Not Covered (Year-1),embedding_fallback,A3.2,Action A3.2: Research Grant Application Support Program,0.5133407711982727,0.5133407711982727,False,A3.2,Action A3.2: Research Grant Application Support Program,0.5133407711982727,0.5133407711982727,A3.4,Action A3.4: Technology Transfer & IP Management Initiative,0.43520963191986084,0.43520963191986084,A5.3,Action A5.3: STEM Outreach Program Launch,0.4276518225669861,0.4276518225669861
SO5.4,"Implement community outreach programs reaching 10,000 secondary school students annually through STEM workshops",Strong,linked_to,A5.3,Action A5.3: STEM Outreach Program Launch,0.6950313448905945,0.8950313448905944,True,A5.3,Action A5.3: STEM Outreach Program Launch,0.6950313448905945,0.8950313448905944,,,,,,,,
SO5.5,"Establish an Alumni Engagement Office and grow active alumni network to 5,000 members by 2028",Partial,linked_to,A5.4,Action A5.4: Alumni Engagement Platform & Database,0.5906424522399902,0.7906424522399902,True,A5.4,Action A5.4: Alumni Engagement Platform & Database,0.5906424522399902,0.7906424522399902,,,,,,,,
SO5.6,Develop international partnerships with 10 universities for student/faculty exchange programs,Not Covered (Year-1),embedding_fallback,A5.4,Action A5.4: Alumni Engagement Platform & Database,0.3977954387664795,0.3977954387664795,False,A5.4,Action A5.4: Alumni Engagement Platform & Database,0.3977954387664795,0.3977954387664795,A1.1,Action A1.1: Establish Curriculum Innovation Task Force,0.39631521701812744,0.39631521701812744,A2.4,Action A2.4: Alumni Mentorship Program Launch,0.36576783657073975,0.36576783657073975
